STAT6,TGF,IL12,IL10,Ppia,Ppip,IL6,CXCL9,IFN,CDC24
25,27,23,24,42,23,47,51,,
31,30,24,25,78,24,51,48,,
46,31,26,27,,26,42,66,,
59,54,29,28,,28,,84,,
,65,31,30,,29,,85,,
,72,32,32,,41,,32,,
,73,41,48,,44,,88,,
,75,42,53,,47,,89,,
,80,43,56,,48,,42,,
,84,44,64,,51,,64,,
,85,45,65,,55,,,,
,88,47,66,,57,,,,
,89,48,73,,61,,,,
,,49,75,,63,,,,
,,51,76,,64,,,,
,,53,77,,66,,,,
,,55,79,,67,,,,
,,,80,,68,,,,
,,57,83,,69,,,,
,,61,84,,76,,,,
,,63,85,,77,,,,
,,64,89,,79,,,,
,,67,93,,81,,,,
,,68,,,82,,,,
,,69,,,83,,,,
,,71,,,84,,,,
,,72,,,86,,,,
,,76,,,90,,,,
,,77,,,95,,,,
,,78,,,,,,,
,,81,,,,,,,
,,82,,,,,,,
,,83,,,,,,,
,,88,,,,,,,
,,90,,,,,,,
,,95,,,,,,,
,,93,,,,,,,
