"","Mouse_ID","year","delta_ct_cewe_MminusE","Species","MC"
"1","AA_0095",2016,-5.8366666667,"Negative","FALSE"
"2","AA_0159",2016,-8.8666666667,"Negative","FALSE"
"3","AA_0126",2016,-9.4333333333,"Negative","FALSE"
"4","AA_0063",2016,-7.97,"Negative","FALSE"
"5","AA_0147",2016,-8.7833333333,"Negative","FALSE"
"6","AA_0110",2016,-8.6366666667,"Negative","FALSE"
"7","AA_0125",2016,-7.8933333333,"Negative","FALSE"
"8","AA_0114",2016,-5.3933333333,"Negative","FALSE"
"9","AA_0188",2016,-8.0133333333,"Negative","FALSE"
"10","AA_0206",2016,-7.6833333333,"Negative","FALSE"
"11","AA_0084",2016,-9.7366666667,"Negative","FALSE"
"12","AA_0177",2016,-8.29,"Negative","FALSE"
"13","AA_0178",2016,-8.6266666667,"Negative","FALSE"
"14","AA_0149",2016,-9.1833333333,"Negative","FALSE"
"15","AA_0196",2016,-6.1733333333,"Negative","FALSE"
"16","AA_0135",2016,-8.84,"Negative","FALSE"
"17","AA_0179",2016,-6.1966666667,"Negative","FALSE"
"18","AA_0057",2016,-9.2533333333,"Negative","FALSE"
"19","AA_0180",2016,-9.43,"Negative","FALSE"
"20","AA_0186",2016,-7.82,"Negative","FALSE"
"181","AA_0064",2016,-2.13,"E_ferrisi","TRUE"
"201","AA_0066",2016,-2.58,"E_ferrisi","TRUE"
"21","AA_0067",2016,-3.5933333333,"E_ferrisi","TRUE"
"22","AA_0068",2016,-1.15,"E_ferrisi","TRUE"
"23","AA_0069",2016,-3.84,"E_falciformis","TRUE"
"24","AA_0070",2016,-3.94,"E_ferrisi","TRUE"
"34","AA_0080",2016,0.420000000000002,"Double","TRUE"
"42","AA_0088",2016,-2.34,"E_falciformis","TRUE"
"48","AA_0094",2016,0.9433333333,"E_ferrisi","TRUE"
"54","AA_0100",2016,1.96,"E_ferrisi","TRUE"
"66","AA_0112",2016,-0.0766666667,"E_falciformis","TRUE"
"73","AA_0120",2016,-2.77,"E_ferrisi","TRUE"
"74","AA_0121",2016,-3.1266666667,"E_ferrisi","TRUE"
"92","AA_0139",2016,-1.9033333333,"E_ferrisi","TRUE"
"118","AA_0165",2016,-2.2533333333,"E_ferrisi","TRUE"
"120","AA_0167",2016,-4.6866666667,"E_ferrisi","TRUE"
"110","AA_0346",2017,-10.7,"Negative","FALSE"
"210","AA_0278",2017,-11.44,"Negative","FALSE"
"310","AA_0255",2017,-8.53,"Negative","FALSE"
"49","AA_0461",2017,-11.04,"Negative","FALSE"
"51","AA_0355",2017,-8,"Negative","FALSE"
"61","AA_0358",2017,-13.27,"Negative","FALSE"
"71","AA_0302",2017,-14.33,"Negative","FALSE"
"82","AA_0395",2017,-12.765,"Negative","FALSE"
"91","AA_0422",2017,-13.25,"Negative","FALSE"
"101","AA_0353",2017,-13.7533333333333,"Negative","FALSE"
"111","AA_0471",2017,-11.02,"Negative","FALSE"
"121","AA_0284",2017,-5,"Negative","FALSE"
"131","AA_0405",2017,-11.91,"Negative","FALSE"
"141","AA_0521",2017,-11.95,"Negative","FALSE"
"151","AA_0520",2017,-13.11,"Negative","FALSE"
"161","AA_0350",2017,-11.77,"E_ferrisi","FALSE"
"179","AA_0275",2017,-14.61,"Negative","FALSE"
"182","AA_0317",2017,-6.98,"E_ferrisi","FALSE"
"191","AA_0457",2017,-12.03,"Negative","FALSE"
"202","AA_0467",2017,-12.03,"E_falciformis","FALSE"
"211","AA_0286",2017,-14.1,"Negative","FALSE"
"221","AA_0343",2017,-11.9933333333333,"E_falciformis","FALSE"
"231","AA_0523",2017,-6.8,"E_falciformis","FALSE"
"241","AA_0490",2017,-10.34,"Negative","FALSE"
"25","AA_0335",2017,-11.02,"Negative","FALSE"
"26","AA_0385",2017,-12.5,"Negative","FALSE"
"27","AA_0427",2017,-6.13,"Negative","FALSE"
"28","AA_0376",2017,-10.3,"Negative","FALSE"
"29","AA_0277",2017,-12.7466666666667,"Negative","FALSE"
"30","AA_0290",2017,-15.91,"Negative","FALSE"
"31","AA_0273",2017,-5,"Other","FALSE"
"32","AA_0356",2017,-13.1,"Negative","FALSE"
"33","AA_0299",2017,-11.1,"E_ferrisi","FALSE"
"342","AA_0307",2017,-10.51,"Negative","FALSE"
"35","AA_0374",2017,-6.88,"E_ferrisi","FALSE"
"36","AA_0327",2017,-13.61,"Negative","FALSE"
"37","AA_0380",2017,-12.315,"Negative","FALSE"
"38","AA_0268",2017,-7.48,"Negative","FALSE"
"39","AA_0414",2017,-14.13,"Negative","FALSE"
"40","AA_0379",2017,-8.84,"Negative","FALSE"
"41","AA_0252",2017,-8.63,"E_ferrisi","FALSE"
"421","AA_0402",2017,-7.37,"Negative","FALSE"
"43","AA_0453",2017,-11.85,"Negative","FALSE"
"44","AA_0369",2017,-11.425,"Negative","FALSE"
"45","AA_0408",2017,-9.07,"E_falciformis","FALSE"
"46","AA_0291",2017,-12.8,"Negative","FALSE"
"47","AA_0283",2017,-5,"Negative","FALSE"
"165","AA_0237",2017,-4.82,"E_ferrisi","TRUE"
"171","AA_0243",2017,-2.375,"E_ferrisi","TRUE"
"172","AA_0244",2017,-2.6,"Negative","TRUE"
"173","AA_0245",2017,-4.58,"E_ferrisi","TRUE"
"174","AA_0246",2017,-9.895,"Negative","TRUE"
"175","AA_0247",2017,-8.31,"Negative","TRUE"
"176","AA_0248",2017,-6.685,"E_ferrisi","TRUE"
"177","AA_0249",2017,-8.755,"E_falciformis","TRUE"
"178","AA_0250",2017,-5.87,"Negative","TRUE"
"187","AA_0261",2017,-4.21,"E_falciformis","TRUE"
"218","AA_0294",2017,NA,"Negative","TRUE"
"219","AA_0296",2017,-3.435,"E_ferrisi","TRUE"
"220","AA_0297",2017,NA,"Negative","TRUE"
"232","AA_0309",2017,NA,"E_ferrisi","TRUE"
"237","AA_0314",2017,-2.82,"E_ferrisi","TRUE"
"242","AA_0319",2017,-7.82,"E_ferrisi","TRUE"
"243","AA_0320",2017,-11.29,"Negative","TRUE"
"252","AA_0329",2017,-12.05,"Negative","TRUE"
"253","AA_0330",2017,-11.63,"Negative","TRUE"
"254","AA_0331",2017,-9.42,"Negative","TRUE"
"255","AA_0332",2017,-9.93,"Negative","TRUE"
"257","AA_0334",2017,-10.985,"Negative","TRUE"
