"","EH_ID","primary_infection","challenge_infection","mouse_strain","experiment","infection_history","Locality","Genome","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","contamination","InfectionHistoryTotal"
"1","LM0348","E139","E88","NMRI","P4","E139:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LM0349","E139","E88","NMRI","P4","E139:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LM0350","E139","E64","NMRI","P4","E139:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LM0351","E139","UNI","NMRI","P4","E139:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LM0352","E64","E88","NMRI","P4","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","LM0353","E64","E88","NMRI","P4","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LM0354","E64","E64","NMRI","P4","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LM0355","E64","UNI","NMRI","P4","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","LM0356","E88","E88","NMRI","P4","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","LM0357","E88","E88","NMRI","P4","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","LM0358","E88","E64","NMRI","P4","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","LM0359","E88","UNI","NMRI","P4","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","LM0360","Eflab","E88","NMRI","P4","Eflab:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LM0361","Eflab","E88","NMRI","P4","Eflab:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","LM0362","Eflab","E64","NMRI","P4","Eflab:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","LM0363","Eflab","UNI","NMRI","P4","Eflab:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","LM0364","UNI","E88","NMRI","P4","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","LM0365","UNI","E88","NMRI","P4","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","LM0366","UNI","E64","NMRI","P4","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","LM0367","UNI","UNI","NMRI","P4","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","LM0332","Eflab","E88","NMRI","P3","Eflab:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","LM0333","Eflab","E64","NMRI","P3","Eflab:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LM0334","Eflab","UNI","NMRI","P3","Eflab:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","LM0335","E88","UNI","NMRI","P3","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","LM0336","E88","E64","NMRI","P3","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","LM0337","E88","UNI","NMRI","P3","E88:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","LM0338","E64","E88","NMRI","P3","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","LM0339","E64","E64","NMRI","P3","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","LM0340","E64","UNI","NMRI","P3","E64:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","LM0341","E139","E88","NMRI","P3","E139:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","LM0342","E139","E64","NMRI","P3","E139:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","LM0343","E139","UNI","NMRI","P3","E139:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","LM0344","UNI","E88","NMRI","P3","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","LM0345","UNI","E64","NMRI","P3","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","LM0346","UNI","UNI","NMRI","P3","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","LM0347","E88","E88","NMRI","P3","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","LM0202"," E88 ",NA," BUSNA_BUSNA ","E5",NA," Buskovice "," mus "," SY ",5146,59," BUSNA "," SY ",5144,59,"2018-04-26",7,4," 1+? "," 2+? "," EX ",1037," F ","60"," 1F ","7.47",9.79," P3 ",NA,NA," BUSNA "," BUSNA "," parental strains ",10.5714285714286,1,NA,NA,NA
"38","LM0181"," E88 ",NA," BUSNA_BUSNA ","E5",NA," Buskovice "," mus "," SY ",8209,62," BUSNA "," SY ",8208,62,"2018-04-20",1,3,"1","2"," EX ",871," M ","63"," 1M ","5.61",10.03," L2 ",NA,NA," BUSNA "," BUSNA "," parental strains ",11.4285714285714,1,NA,NA,NA
"39","LM0193"," E88 ",NA," BUSNA_BUSNA ","E5",NA," Buskovice "," mus "," SY ",8209,62," BUSNA "," SY ",8208,62,"2018-04-20",1,3,"1","2"," EX ",872," F ","63"," 1F ","5.32",8.92," L3 ",NA,NA," BUSNA "," BUSNA "," parental strains ",11.4285714285714,1,NA,NA,NA
"40","LM0192"," E88 ",NA," BUSNA_PWD ","E5",NA," BUSNA x PWD "," mus x mus "," SY ",6115,60," PWD "," SY ",7040,43,"2018-04-01",3,4,"2","2"," EX ",752," M "," F1 "," 1M ","6.44",12.24," P2 ",NA,NA," BUSNA "," PWD "," outbred hybrids ",14.1428571428571,1,NA,NA,NA
"41","LM0197"," E88 ",NA," BUSNA_STRA ","E5",NA," BUSNA x STRA "," mus x dom "," SY ",6114,60," STRA "," SY ",6345,55,"2018-02-23",2,3,"0","3"," EX ",620," F "," F1 "," 1F ","7.55",12.35," P2 ",NA,NA," BUSNA "," STRA "," inter subsp. hybrids ",19.4285714285714,1,NA,NA,NA
"42","LM0191"," E88 ",NA," BUSNA_STRA ","E5",NA," BUSNA x STRA "," mus x dom "," SY ",6114,60," STRA "," SY ",6345,55,"2018-02-23",2,3,"0","3"," EX ",621," F "," F1 "," 1F ","7.07",12.2," P3 ",NA,NA," BUSNA "," STRA "," inter subsp. hybrids ",19.4285714285714,1,NA,NA,NA
"43","LM0190"," E88 ",NA," PWD_PWD ","E5",NA," Prague "," mus "," SY ",5343,42," PWD "," SY ",5340,42,"2018-03-07",3,9,"5","4"," EX ",665," F ","43"," 1F ","3.98",4.41," L2 ",NA,NA," PWD "," PWD "," parental strains ",17.7142857142857,1,NA,NA,NA
"44","LM0187"," E88 ",NA," PWD_PWD ","E5",NA," Prague "," mus "," SY ",5343,42," PWD "," SY ",5340,42,"2018-03-07",3,9,"5","4"," EX ",666," F ","43"," 1F ","4.2",4.97," L3 ",NA,NA," PWD "," PWD "," parental strains ",17.7142857142857,1,NA,NA,NA
"45","LM0189"," E88 ",NA," PWD_PWD ","E5",NA," Prague "," mus "," SY ",5343,42," PWD "," SY ",5340,42,"2018-04-01",4,4,"2","2"," EX ",758," F ","43"," 1F ","5.22",7.18," L4 ",NA,NA," PWD "," PWD "," parental strains ",14.1428571428571,1,NA,NA,NA
"46","LM0179"," E88 ",NA," PWD_BUSNA ","E5",NA," PWD x BUSNA "," mus x mus "," SY ",2996,46," BUSNA "," SY ",6113,60,"2018-03-23",6,9,"4","5"," EX ",727," F "," F1 "," 1F ","4.73",8.44," P3 ",NA,NA," PWD "," BUSNA "," outbred hybrids ",15.4285714285714,1,NA,NA,NA
