"","EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_type","IFNy_CEWE","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","CASP1","CXCL9","CXCR3","IDO1","IFNG","IL10","IL12A","IL13","IL1RN","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","IL6","IL17A","Eim_MC","delta"
"1","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aPTU",22,20.03,109.835247129306,1.21,4,"primary",2,1,1,0,1,4,10000,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxFJW",23.8,23.86,99.7485331098072,0.76,1,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aGPR",20.99,20.03,104.792810783824,0.77,10,"primary",10,16,9,12,1,47,117500,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxELZ",22.88,23.86,95.8927074601844,2.23,4,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxLNW",22.94,23.86,96.1441743503772,0.88,6,"challenge",6,7,10,7,1,30,75000,"heterologous_E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aFGW",20.03,20.03,100,1.68,0,"primary",18,18,20,18,1,74,185000,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aFKN",20.67,20.03,103.195207189216,1.43,7,"primary",1,2,2,1,1,6,15000,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aNXY",22.12,20.03,110.434348477284,1.13,5,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57bxIPS",23.8,23.86,99.7485331098072,1.5,3,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aACU",22.21,20.03,110.883674488268,0,3,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aBEH",21.52,20.03,107.438841737394,0.81,6,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","LM0227","E57","BUSNA_STRA","E88","E64","E88_E64","E57aBIR",19.13,20.03,95.5067398901647,0.53,9,"primary",33,90,62,82,1,267,667500,"primary_E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
