"","EH_ID","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","primary_infection","challenge_infection","mouse_strain","infection_history","total_oocysts","OPG","IFNy_CEWE","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","CASP1","CXCL9","CXCR3","IDO1","IFNG","IL10","IL12A","IL13","IL1RN","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","IL6","IL17A","Eim_MC","delta","eimeria_species_primary","eimeria_species_challenge","eimeria_species_history","maximum_weight_loss_primary","maximum_weight_loss_challenge","maximum_OPG_primary","maximum_OPG_challenge","relevant_history","simple_strain"
"6","LM0227","E57bxRTY",26,17,23,28,1,"E7",23.12,23.86,96.9,2.01,5,"challenge","E88","E64","BUSNA_STRA","E88:E64",470000,233830.845771144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"8","LM0227","E57bxELZ",0,0,0,0,1,"E7",22.88,23.86,95.89,2.23,4,"challenge","E88","E64","BUSNA_STRA","E88:E64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"9","LM0227","E57bxFJW",0,0,0,0,1,"E7",23.8,23.86,99.75,0.76,1,"challenge","E88","E64","BUSNA_STRA","E88:E64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"13","LM0227","E57bxINO",0,0,0,0,1,"E7",23.86,23.86,100,2.11,0,"challenge","E88","E64","BUSNA_STRA","E88:E64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"14","LM0227","E57bxMNW",3,5,8,1,1,"E7",23.81,23.86,99.79,2.73,8,"challenge","E88","E64","BUSNA_STRA","E88:E64",85000,31135.5311355311,54.4201292769137,44.9,6.385,16.205,13.52,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,21.74,10.5311066756966,2.1041650903887,9.4285675450285,2.1874172135406,8.1932862062694,10.2902783973286,10.5559401010045,NA,4.9252944054409,0.127426259919501,11.6630024434397,-0.1038590624128,0.8702219226889,5.3588954094288,11.8342502407338,16.0348064430075,-0.108094010933199,1.5278714674568,8.3247170004789,9.5125569409461,9.5923588953813,NA,"pos",-5.79,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"15","LM0227","E57bxAUZ",21,32,19,26,1,"E7",23.24,23.86,97.4,1.68,7,"challenge","E88","E64","BUSNA_STRA","E88:E64",490000,291666.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"18","LM0227","E57bxIPS",0,0,0,0,1,"E7",23.8,23.86,99.75,1.5,3,"challenge","E88","E64","BUSNA_STRA","E88:E64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"20","LM0227","E57bxALV",0,0,0,0,1,"E7",23.75,23.86,99.54,1.09,2,"challenge","E88","E64","BUSNA_STRA","E88:E64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"21","LM0227","E57bxLNW",6,7,10,7,1,"E7",22.94,23.86,96.14,0.88,6,"challenge","E88","E64","BUSNA_STRA","E88:E64",150000,170454.545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid"
"24","LM0228","E57bxEJN",0,0,0,0,1,"E7",21.23,21.23,100,1.24,0,"challenge","E88","E64","STRA_BUSNA","E88:E64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid"
"25","LM0228","E57bxLMZ",74,92,97,87,1,"E7",22.29,21.23,104.99,1.05,6,"challenge","E88","E64","STRA_BUSNA","E88:E64",1750000,1666666.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid"
