"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"1","E10aAAX",0,0,0,0,1
"2","E10aABE",0,0,0,0,1
"3","E10aADZ",8,3,15,11,1
"4","E10aAEM",20,16,15,7,1
"5","E10aAEX",NA,NA,NA,NA,1
"6","E10aAFG",0,0,0,0,1
"7","E10aAHH",0,0,0,3,1
"8","E10aAHK",0,0,0,0,1
"9","E10aAOU",4,4,5,7,1
"10","E10aAQA",NA,NA,NA,NA,NA
"11","E10aAWA",0,0,0,0,1
"12","E10aAXX",1,2,0,0,1
"13","E10aAYM",0,0,0,0,1
"14","E10aBAA",1,3,4,4,1
"15","E10aBAM",18,21,18,16,1
"16","E10aBBQ",0,0,0,0,1
"17","E10aBJK",0,0,0,0,1
"18","E10aBKA",3,1,3,3,1
"19","E10aBQF",NA,NA,NA,NA,1
"20","E10aBRI",135,162,185,191,1
"21","E10aBRN",NA,NA,NA,NA,1
"22","E10aBRU",0,1,0,0,1
"23","E10aBSE",0,0,0,0,1
"24","E10aBWZ",0,1,0,0,1
"25","E10aBXR",40,35,26,39,1
"26","E10aCBB",0,0,0,0,1
"27","E10aCBO",93,49,43,53,1
"28","E10aCBY",0,0,0,0,1
"29","E10aCCB",0,2,2,2,1
"30","E10aCCE",3,1,2,1,1
"31","E10aCDH",30,14,27,29,1
"32","E10aCGR",0,0,0,0,1
"33","E10aCIJ",0,0,0,0,1
"34","E10aCLD",0,0,0,0,1
"35","E10aCLH",NA,NA,NA,NA,1
"36","E10aCNW",199,186,188,179,1
"37","E10aCQA",0,0,0,0,1
"38","E10aCQF",0,0,0,0,1
"39","E10aCSK",47,52,40,43,1
"40","E10aCTL",0,0,0,0,1
"41","E10aCWA",0,0,0,0,1
"42","E10aCWZ",0,0,0,0,1
"43","E10aCXG",0,0,0,0,1
"44","E10aCXR",1,4,2,4,1
"45","E10aCYC",120,152,160,177,1
"46","E10aCYL",0,0,0,0,1
"47","E10aCZQ",0,0,0,0,1
"48","E10aDBR",0,0,0,0,1
"49","E10aDEM",99,117,107,98,1
"50","E10aDFU",0,0,0,0,1
"51","E10aDFW",160,143,141,105,1
"52","E10aDGI",59,72,65,41,1
"53","E10aDGV",0,0,0,0,1
"54","E10aDIL",NA,NA,NA,NA,NA
"55","E10aDMH",0,0,0,0,1
"56","E10aDQH",0,0,0,0,1
"57","E10aDWZ",0,0,0,0,1
"58","E10aEDH",0,0,0,0,1
"59","E10aEEB",0,0,0,0,1
"60","E10aEFY",NA,NA,NA,NA,1
"61","E10aEID",0,0,0,0,1
"62","E10aEJZ",3,0,0,0,1
"63","E10aERA",0,0,0,0,1
"64","E10aERX",0,0,0,0,1
"65","E10aESZ",0,0,0,0,1
"66","E10aETD",0,0,0,0,1
"67","E10aEVS",NA,NA,NA,NA,NA
"68","E10aEVY",0,0,0,0,1
"69","E10aFDU",0,0,0,0,1
"70","E10aFHY",5,10,7,12,1
"71","E10aFIA",0,0,0,0,1
"72","E10aFIJ",NA,NA,NA,NA,1
"73","E10aFPM",0,0,0,0,1
"74","E10aFRH",NA,NA,NA,NA,NA
"75","E10aFTF",59,60,54,79,1
"76","E10aFWR",NA,NA,NA,NA,NA
"77","E10aFZA",82,59,55,59,1
"78","E10aFZY",NA,NA,NA,NA,1
"79","E10aGAF",0,0,0,0,1
"80","E10aGAW",NA,NA,NA,NA,1
"81","E10aGAX",NA,NA,NA,NA,NA
"82","E10aGBB",0,0,0,0,1
"83","E10aGCI",110,114,97,107,1
"84","E10aGDN",0,0,0,0,1
"85","E10aGEU",0,0,0,0,1
"86","E10aGFV",99,120,132,108,1
"87","E10aGMG",0,2,1,0,1
"88","E10aGMH",0,0,0,0,1
"89","E10aGNE",NA,NA,NA,NA,1
"90","E10aGNT",16,18,17,23,1
"91","E10aGRE",0,1,0,1,1
"92","E10aGRR",0,0,0,0,1
"93","E10aGSN",427,281,419,386,1
"94","E10aGTL",0,0,0,0,1
"95","E10aGYP",3,4,8,9,1
"96","E10aGYU",4,3,8,6,1
"97","E10aHBV",0,0,0,0,1
"98","E10aHBZ",0,0,0,0,1
"99","E10aHEX",NA,NA,NA,NA,1
"100","E10aHGR",0,0,0,0,1
"101","E10aHLL",0,0,0,0,1
"102","E10aHRM",163,122,124,149,1
"103","E10aHRS",1,1,2,4,1
"104","E10aHVE",8,15,18,15,1
"105","E10aHXV",NA,NA,NA,NA,1
"106","E10aHZR",4,4,17,21,1
"107","E10aIAU",0,0,0,0,1
"108","E10aICP",NA,NA,NA,NA,NA
"109","E10aIFB",0,0,0,0,1
"110","E10aIFF",0,0,0,0,1
"111","E10aIKD",NA,NA,NA,NA,1
"112","E10aIKG",0,0,0,0,1
"113","E10aIKU",0,0,0,0,1
"114","E10aIMD",0,0,0,0,1
"115","E10aIMN",6,9,7,4,1
"116","E10aIVO",0,0,0,0,1
"117","E10aIXJ",0,0,0,0,1
"118","E10aJCW",NA,NA,NA,NA,1
"119","E10aJFX",0,0,0,0,1
"120","E10aJGM",NA,NA,NA,NA,NA
"121","E10aJIT",NA,NA,NA,NA,1
"122","E10aJLF",12,11,8,13,1
"123","E10aJLH",1,0,0,0,1
"124","E10aJNY",0,0,0,0,1
"125","E10aJPT",0,0,0,0,1
"126","E10aJRO",NA,NA,NA,NA,NA
"127","E10aJTJ",0,0,0,0,1
"128","E10aJTY",0,0,0,0,1
"129","E10aJVK",6,5,1,2,1
"130","E10aJXJ",0,0,0,0,1
"131","E10aKAJ",0,0,0,0,1
"132","E10aKAT",1,1,0,0,1
"133","E10aKBF",0,0,0,0,1
"134","E10aKBG",55,40,49,60,1
"135","E10aKDN",NA,NA,NA,NA,NA
"136","E10aKGF",0,0,0,0,1
"137","E10aKJG",29,15,21,31,1
"138","E10aKJN",0,0,0,0,1
"139","E10aKOV",0,0,0,0,1
"140","E10aKPA",2,1,2,0,1
"141","E10aKSO",4,4,5,4,1
"142","E10aKVQ",0,0,0,0,1
"143","E10aKVT",0,0,0,0,1
"144","E10aKWX",0,0,0,0,1
"145","E10aKXV",1,3,1,0,1
"146","E10aKYA",0,0,0,0,1
"147","E10aKZW",3,0,3,4,1
"148","E10aKZX",0,0,0,0,1
"149","E10aLCS",0,0,0,0,1
"150","E10aLEJ",94,82,89,92,1
"151","E10aLFS",0,6,0,4,1
"152","E10aLGU",0,0,0,0,1
"153","E10aLNM",101,125,112,91,1
"154","E10aLQF",0,0,0,0,1
"155","E10aLQI",0,0,0,0,1
"156","E10aLQS",0,0,0,0,1
"157","E10aLTC",NA,NA,NA,NA,NA
"158","E10aLUW",0,0,0,0,1
"159","E10aLYR",0,0,0,0,1
"160","E10aLZC",NA,NA,NA,NA,1
"161","E10aLZO",0,1,0,0,1
"162","E10aMFI",0,0,0,0,1
"163","E10aMFO",148,175,136,161,1
"164","E10aMFX",0,0,0,0,1
"165","E10aMGW",119,65,124,87,1
"166","E10aMHK",0,0,0,0,1
"167","E10aMJU",0,0,0,0,1
"168","E10aMLP",NA,NA,NA,NA,NA
"169","E10aMMQ",0,0,0,0,1
"170","E10aMSM",0,0,0,0,1
"171","E10aMTH",NA,NA,NA,NA,NA
"172","E10aMTZ",10,8,7,7,1
"173","E10aMVN",0,0,0,0,1
"174","E10aMYB",3,3,1,5,1
"175","E10aNCK",9,15,16,17,1
"176","E10aNED",0,0,0,0,1
"177","E10aNIC",242,207,258,220,1
"178","E10aNJL",NA,NA,NA,NA,NA
"179","E10aNJY",0,0,0,0,1
"180","E10aNKZ",0,0,0,1,1
"181","E10aNLL",0,0,0,0,1
"182","E10aNMG",NA,NA,NA,NA,1
"183","E10aNNQ",NA,NA,NA,NA,1
"184","E10aNPL",0,0,0,0,1
"185","E10aNPM",4,7,5,2,1
"186","E10aNVX",0,0,0,0,1
"187","E10aOAS",0,0,0,0,1
"188","E10aOET",0,0,0,0,1
"189","E10aOEW",6,12,17,6,1
"190","E10aOGD",NA,NA,NA,NA,NA
"191","E10aOHD",1,1,3,2,1
"192","E10aOIK",0,0,0,0,1
"193","E10aOIN",0,0,0,0,1
"194","E10aOJA",NA,NA,NA,NA,1
"195","E10aOKS",0,0,0,0,1
"196","E10aOLO",NA,NA,NA,NA,NA
"197","E10aOMR",0,0,0,0,1
"198","E10aOOZ",0,0,0,0,1
"199","E10aOPZ",0,0,0,0,1
"200","E10aOTB",NA,NA,NA,NA,1
"201","E10aOVS",0,0,0,0,1
"202","E10aOXT",0,0,0,0,1
"203","E10aOZK",0,0,0,0,1
"204","E10aPAU",0,0,0,0,1
"205","E10aPHJ",NA,NA,NA,NA,NA
"206","E10aPHT",0,0,0,0,1
"207","E10aPIY",14,12,8,9,1
"208","E10aPKZ",NA,NA,NA,NA,1
"209","E10aPMC",5,2,2,0,1
"210","E10aPMN",0,0,0,0,1
"211","E10aPNK",26,8,9,18,1
"212","E10aPON",0,0,0,0,1
"213","E10aPSI",NA,NA,NA,NA,1
"214","E10aPSW",0,0,0,0,1
"215","E10aPVS",18,25,23,13,1
"216","E10aPZH",0,1,2,1,1
"217","E10aQBG",0,0,2,0,1
"218","E10aQCJ",7,1,10,4,1
"219","E10aQDD",NA,NA,NA,NA,1
"220","E10aQFC",0,0,0,0,1
"221","E10aQHA",0,0,0,0,1
"222","E10aQHK",0,0,0,0,1
"223","E10aQIP",NA,NA,NA,NA,NA
"224","E10aQJO",0,0,0,0,1
"225","E10aQNV",0,0,0,0,1
"226","E10aQPC",0,0,0,0,1
"227","E10aQPG",59,40,51,33,1
"228","E10aQRQ",NA,NA,NA,NA,NA
"229","E10aQSC",0,2,0,0,1
"230","E10aQSC.1",0,0,0,0,1
"231","E10aQTG",0,0,0,0,1
"232","E10aQUT",3,4,2,3,1
"233","E10aQUW",0,0,0,0,1
"234","E10aQWN",NA,NA,NA,NA,1
"235","E10aQWZ",0,0,0,0,1
"236","E10aQYJ",NA,NA,NA,NA,1
"237","E10aQYU",3,0,1,1,1
"238","E10aRBK",4,3,0,1,1
"239","E10aRFH",0,0,0,0,1
"240","E10aRHN",0,0,0,0,1
"241","E10aRHO",0,0,0,0,1
"242","E10aRIP",NA,NA,NA,NA,NA
"243","E10aRJW",NA,NA,NA,NA,NA
"244","E10aRJY",0,0,0,0,1
"245","E10aRMO",75,84,72,79,1
"246","E10aRNY",1,2,2,2,1
"247","E10aRPZ",0,0,0,0,1
"248","E10aRQH",NA,NA,NA,NA,1
"249","E10aRRD",0,0,0,0,1
"250","E10aRVA",0,0,0,0,1
"251","E10aRZO",0,0,0,0,1
"252","E10aSAO",NA,NA,NA,NA,1
"253","E10aSBP",0,0,0,0,1
"254","E10aSDI",23,19,18,12,1
"255","E10aSDV",0,0,0,0,1
"256","E10aSHK",0,0,0,0,1
"257","E10aSIS",0,0,0,0,1
"258","E10aSLC",0,0,0,0,1
"259","E10aSLN",0,0,0,0,1
"260","E10aSOB",0,0,0,0,1
"261","E10aSPY",NA,NA,NA,NA,1
"262","E10aSQR",0,0,0,0,1
"263","E10aSTP",0,0,0,0,1
"264","E10aSTP.1",0,0,2,0,1
"265","E10aSUW",0,0,0,0,1
"266","E10aSZL",0,0,0,0,1
"267","E10aSZV",0,0,0,0,1
"268","E10aSZX",0,0,0,0,1
"269","E10aTCS",34,24,31,33,1
"270","E10aTDF",0,0,0,0,1
"271","E10aTFM",0,0,0,0,1
"272","E10aTHK",0,0,0,0,1
"273","E10aTIK",0,0,0,0,1
"274","E10aTJL",0,0,0,0,1
