"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","EH_ID","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","primary_infection","challenge_infection","mouse_strain","infection_history","Locality","Genome","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","contamination","InfectionHistoryTotal","total_oocysts","OPG"
"1","E10aAAX",0,0,0,0,1,"LM0372","E10",21.18,22.87,92.6104066462615,1.42,10,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2","E10aABE",0,0,0,0,1,"LM0394","E10",16.01,14.48,110.566298342541,0.83,2,"primary","UNI","UNI","PWD_PWD","UNI:UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3","E10aADZ",8,3,15,11,1,"LM0381","E10",11.74,14.8,79.3243243243243,0.34,8,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185000,544117.647058823
"4","E10aAEM",20,16,15,7,1,"LM0370","E10",15.6,16.25,96,1.29,4,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290000,224806.201550388
"5","E10aAEX",NA,NA,NA,NA,1,"LM0383","E10",11.17,14.04,79.5584045584046,NA,9,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","E10aAFG",0,0,0,0,1,"LM0384","E10",19.29,19.28,100.051867219917,1.01,1,"primary","E88","E64","SCHUNT_SCHUNT","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"7","E10aAHH",0,0,0,3,1,"LM0372","E10",20.55,22.87,89.855706165282,1.53,8,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,9803.92156862745
"8","E10aAHK",0,0,0,0,1,"LM0397","E10",17.81,18.45,96.5311653116531,1.35,5,"primary","UNI","E64","PWD_PWD","UNI:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"9","E10aAOU",4,4,5,7,1,"LM0380","E10",20.08,19.82,101.311806256307,0.98,5,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,102040.816326531
"10","E10aAQA",NA,NA,NA,NA,NA,"LM0399","E10",15.27,15.27,100,NA,0,"primary","UNI","E88","PWD_PWD","UNI:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","E10aAWA",0,0,0,0,1,"LM0383","E10",13.27,14.04,94.5156695156695,0.81,4,"primary","E88","E88","PWD_PWD","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"12","E10aAXX",1,2,0,0,1,"LM0373","E10",23.24,25.04,92.8115015974441,1.94,11,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,7731.9587628866
"13","E10aAYM",0,0,0,0,1,"LM0370","E10",17.38,16.25,106.953846153846,1.22,11,"primary","E64","E64","PWD_PWD","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"14","E10aBAA",1,3,4,4,1,"LM0381","E10",14.54,14.8,98.2432432432432,0.87,5,"primary","E88","E88","SCHUNT_SCHUNT","E88:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,68965.5172413793
"15","E10aBAM",18,21,18,16,1,"LM0369","E10",16.67,19.22,86.732570239334,1.22,6,"primary","E64","E64","SCHUNT_SCHUNT","E64:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365000,299180.327868852
"16","E10aBBQ",0,0,0,0,1,"LM0387","E10",12.74,14.16,89.9717514124294,0.59,4,"primary","E88","E64","PWD_PWD","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"17","E10aBJK",0,0,0,0,1,"LM0385","E10",15.79,15.6,101.217948717949,0.84,1,"primary","E88","E64","SCHUNT_SCHUNT","E88:E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"18","E10aBKA",3,1,3,3,1,"LM0372","E10",20.32,22.87,88.8500218627022,1.21,4,"primary","E64","E88","SCHUNT_SCHUNT","E64:E88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,41322.3140495868
