"","EH_ID","experiment","relative_weight","dpi","primary_infection","challenge_infection","mouse_strain","infection_history","OPG","IFNy_CEWE","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","CASP1","CXCL9","CXCR3","IDO1","IFNG","IL10","IL12A","IL13","IL1RN","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF","IL6","IL17A","Eim_MC","delta","eimeria_species_primary","eimeria_species_challenge","eimeria_species_history","maximum_weight_loss_primary","maximum_weight_loss_challenge","maximum_OPG_primary","maximum_OPG_challenge","relevant_history","simple_strain","FACS_PCA1","FACS_PCA2","GE_PCA1","GE_PCA2"
"1","LM0227","E7",96.9,5,"E88","E64","BUSNA_STRA","E88:E64",233830.845771144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"2","LM0227","E7",95.89,4,"E88","E64","BUSNA_STRA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"3","LM0227","E7",99.75,1,"E88","E64","BUSNA_STRA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"4","LM0227","E7",100,0,"E88","E64","BUSNA_STRA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"5","LM0227","E7",99.79,8,"E88","E64","BUSNA_STRA","E88:E64",31135.5311355311,54.4201292769137,44.9,6.385,16.205,13.52,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,21.74,10.5311066756966,2.1041650903887,9.4285675450285,2.1874172135406,8.1932862062694,10.2902783973286,10.5559401010045,NA,4.9252944054409,0.127426259919501,11.6630024434397,-0.1038590624128,0.8702219226889,5.3588954094288,11.8342502407338,16.0348064430075,-0.108094010933199,1.5278714674568,8.3247170004789,9.5125569409461,9.5923588953813,NA,"pos",-5.79,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",1.15285717065081,0.582700327477987,0.947280870729387,-1.89920886850208
"6","LM0227","E7",97.4,7,"E88","E64","BUSNA_STRA","E88:E64",291666.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"7","LM0227","E7",99.75,3,"E88","E64","BUSNA_STRA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"8","LM0227","E7",99.54,2,"E88","E64","BUSNA_STRA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"9","LM0227","E7",96.14,6,"E88","E64","BUSNA_STRA","E88:E64",170454.545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",95.5067398901647,95.89,4564516.12903226,291666.666666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"10","LM0228","E7",100,0,"E88","E64","STRA_BUSNA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"11","LM0228","E7",104.99,6,"E88","E64","STRA_BUSNA","E88:E64",1666666.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"12","LM0228","E7",110.22,1,"E88","E64","STRA_BUSNA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"13","LM0228","E7",117.05,3,"E88","E64","STRA_BUSNA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"14","LM0228","E7",110.69,8,"E88","E64","STRA_BUSNA","E88:E64",159292.03539823,84.9852124920339,46.145,7.005,21.365,11.565,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,27.535,12.7524466490958,3.032392230102,10.1226581925541,0.8497333849638,9.3613781487319,11.4244637556405,NA,NA,8.6370125190113,-1.4641039331846,15.1816267200264,-1.77357372581233,3.1010446659189,6.5123530682271,11.3950315536978,14.7657429243728,-3.64095980302319,-1.2055966378162,6.1628976294228,10.8647319700418,13.8279095192603,15.8192063737582,"pos",-5.91,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",2.71049255353017,0.977498261687267,-0.497893555801152,0.680974909656602
"15","LM0228","E7",113.71,2,"E88","E64","STRA_BUSNA","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"16","LM0228","E7",107.96,7,"E88","E64","STRA_BUSNA","E88:E64",1105932.20338983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"17","LM0228","E7",110.55,5,"E88","E64","STRA_BUSNA","E88:E64",750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"18","LM0228","E7",113.09,4,"E88","E64","STRA_BUSNA","E88:E64",5102.04081632653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",98.3836206896552,100,4471428.57142857,1666666.66666667,"FAL:FER","Hybrid",NA,NA,NA,NA
"19","LM0229","E7",99.06,2,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"20","LM0229","E7",102.57,6,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"21","LM0229","E7",98.53,4,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"22","LM0229","E7",100,0,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"23","LM0229","E7",99.74,8,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,11.9382981889895,56.22,7.15,12.455,9.505,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,41.36,11.0570239808118,7.4928375849876,12.1672756848417,4.4043195300201,NA,13.4021594072624,16.2974976695484,NA,6.6510729764574,-3.68748612919965,NA,-3.74879669653864,1.3731204139678,8.5618481790986,12.4667741562199,NA,-2.31373526026589,-2.29308223299236,7.6192668160569,11.3140420789382,12.682119060652,11.2634867953648,"neg",-7.12,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",-1.0253356108172,1.77859768495729,-2.26004386629214,1.77688885197589
"24","LM0229","E7",96.43,1,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"25","LM0229","E7",104.3,5,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"26","LM0229","E7",98.9,3,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"27","LM0229","E7",97.95,7,"E88","E88","SCHUNT_SCHUNT","E88:E88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FAL","FAL:FAL",82.6169405815424,96.43,1962962.96296296,0,"FAL:FAL","Mmd",NA,NA,NA,NA
"28","LM0231","E7",103.67,4,"E88","E64","PWD_SCHUNT","E88:E64",29288.7029288703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",82.2554783538215,98.74,1262500,1643790.8496732,"FAL:FER","Hybrid",NA,NA,NA,NA
"29","LM0231","E7",100,0,"E88","E64","PWD_SCHUNT","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",82.2554783538215,98.74,1262500,1643790.8496732,"FAL:FER","Hybrid",NA,NA,NA,NA
"30","LM0231","E7",103.48,1,"E88","E64","PWD_SCHUNT","E88:E64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAL","FER","FAL:FER",82.2554783538215,98.74,1262500,1643790.8496732,"FAL:FER","Hybrid",NA,NA,NA,NA
